id	authId	authSource	name
GND-118620223	118620223	GND	Sybel, Heinrich von
GND-116896132	116896132	GND	Hinck, Hugo
GND-118508288	118508288	GND	Beethoven, Ludwig van
GND-115799230	115799230	GND	Schultze, Friedrich August Siegmund
GND-117672521	117672521	GND	Capecelatro, Giuseppe
GND-117022454	117022454	GND	Zumpt, August Wilhelm
GND-11852755X	11852755X	GND	Droysen, Johann Gustav
KPE-895778	895778	KPE	Carosi, Giovanni
GND-118547739	118547739	GND	Hegel, Georg Wilhelm Friedrich
GND-117767530	117767530	GND	Barthélemy, Anatole Jean Baptiste Antoine de
GND-117519839	117519839	GND	Kirchhoff, Friedrich Christian
GND-104345020	104345020	GND	Fabroni, Antonio
GND-11712110X	11712110X	GND	Olfers, Ignaz von
GND-119220350	119220350	GND	Knapp, Johann Michael
GND-116210265	116210265	GND	Klee, Julius
GND-116661224	116661224	GND	Maggiore, Niccolò
GND-116441186	116441186	GND	Garrucci, Raffaele
GND-117424072	117424072	GND	Wittich, Heinrich
GND-116478209	116478209	GND	Cavedoni, Celestino
GND-116105666	116105666	GND	Beckerath, Hermann von
GND-131592572	131592572	GND	Günther, Ernst
GND-118594869	118594869	GND	Platen, August von
GND-118767801	118767801	GND	Wiegand, Theodor
GND-1015934080	1015934080	GND	Fedde, Friedrich
GND-100793509	100793509	GND	Luynes, Honoré Théodore Paul Joseph d'Albert de
GND-118704931	118704931	GND	Hiller, Ferdinand
GND-119259966	119259966	GND	Champollion-Figeac, Jacques-Joseph
GND-116490667	116490667	GND	Fickler, Carl Borromäus Alois
GND-119079178	119079178	GND	Ruhl, Julius
GND-118636383	118636383	GND	Zeller, Eduard
GND-117649317	117649317	GND	Cavallari, Saverio
GND-1053431236	1053431236	GND	Franck, Friedrich Albert
KPE-290408	290408	KPE	Eschenbach, Marga
GND-118816098	118816098	GND	Chrysander, Friedrich
GND-117589926	117589926	GND	Betham, William
GND-118542257	118542257	GND	Grimm, Jacob
GND-118717030	118717030	GND	Gerhard, Eduard
GND-118806521	118806521	GND	Weinhold, Karl
GND-119214229	119214229	GND	Wachsmuth, Wilhelm
GND-118850210	118850210	GND	Bekker, Immanuel
GND-117499048	117499048	GND	Schmid, Ignaz Dominikus Cyriacus
GND-118513168	118513168	GND	Bonatz, Paul
GND-116916354	116916354	GND	Hirzel, Heinrich
GND-116239131	116239131	GND	Düntzer, Heinrich
GND-117604984	117604984	GND	Birket-Smith, Sophus
GND-116658339	116658339	GND	Heimsoeth, Friedrich
GND-118918818	118918818	GND	Palagi, Pelagio
GND-116785438	116785438	GND	Marmora, Albert de la
GND-116584920	116584920	GND	Estorff, Georg Otto Carl von
GND-119338890	119338890	GND	Meineke, August
GND-116001127	116001127	GND	Abeken, Heinrich
GND-1156300673	1156300673	GND	Jahn, Otto
GND-117009229	117009229	GND	Zoega, Georg
KPE-914941	914941	KPE	Beverly, Lord
GND-116283173	116283173	GND	Preuner, August
GND-117115460	117115460	GND	Waitz, Theodor
GND-115670009	115670009	GND	Weise, Carl Hermann
GND-10012478X	10012478X	GND	Erdmann, Franz von
GND-104274212	104274212	GND	Naumann, Emil Wilhelm Robert
GND-118804502	118804502	GND	Vieusseux, Gian Pietro
GND-10239847X	10239847X	GND	Marius Maximus Perpetuus Aurelianus, Lucius
GND-1044414995	1044414995	GND	Lugebil, Karl Efimovič
GND-136012833	136012833	GND	Psyllas, Georgios
GND-122135407	122135407	GND	Jorio, Andrea de
GND-116318848	116318848	GND	Raabe, Abraham Gottlieb
GND-1176052500	1176052500	GND	Amarelli, Vincenzo
GND-1073018555	1073018555	GND	J. Kühtmann & Co.
GND-116630175	116630175	GND	Ross, Ludwig
GND-116975628	116975628	GND	Mazzetti, Antonio
GND-115357742	115357742	GND	Hase, Karl B.
GND-1176054414	1176054414	GND	Ambrosio, Vincenzo de
KPE-897145	897145	KPE	Dei, Luigi
GND-116605162	116605162	GND	Heider, Gustav von
GND-117048879	117048879	GND	Hülsen, Christian
KPE-920196	920196	KPE	Ercole, A.
GND-116598506	116598506	GND	Fleckeisen, Alfred
KPE-895607	895607	KPE	Schiassi, Giuseppe Maffeo
GND-129376000	129376000	GND	Carderera y Solano, Valentín
GND-116904879	116904879	GND	Mercklin, Ludwig
GND-117673102	117673102	GND	Carlisle, Nicholas
GND-100114245	100114245	GND	Dubois, Léon-Jean-Joseph
GND-1055306846	1055306846	GND	Frigell, Anders
GND-116039272	116039272	GND	Baggs, Charles Michael
GND-104136421	104136421	GND	Stier, Wilhelm
GND-118626523	118626523	GND	Verdi, Giuseppe
GND-11692313X	11692313X	GND	Schott, Albert
GND-117037486	117037486	GND	Hübner, Emil
GND-129161691	129161691	GND	Scheppig, Karl Friedrich August
GND-132512882	132512882	GND	Fauvel, Louis François Sébastien
GND-117022470	117022470	GND	Zumpt, Karl Gottlob
GND-104359714	104359714	GND	Rühs, Friedrich
GND-124115446	124115446	GND	Haevernick, Thea Elisabeth
GND-104117672	104117672	GND	Schneider, Johann Gottlob
GND-1184837236	1184837236	GND	Campanari, Carlo
KPE-235743	235743	KPE	Osten, Hans Hennig von der
GND-119520397	119520397	GND	Bonci Casuccini, Pietro
GND-117047643	117047643	GND	Minckwitz, Johannes
GND-119546612	119546612	GND	Borghesi, Bartolomeo
GND-117668664	117668664	GND	Calandrelli, Giovanni
GND-104125489	104125489	GND	Quandt, Johann Gottlob von
GND-119029162	119029162	GND	Coste, Pascal Xavier
GND-117313629	117313629	GND	Lützow, Rudolf von
GND-117156884	117156884	GND	Bunsen, Emilie
GND-11678931X	11678931X	GND	Marquardt, Joachim
GND-118757490	118757490	GND	Tieck, Christian Friedrich
GND-117266353	117266353	GND	Schillbach, Karl Moritz Richard
GND-117308110	117308110	GND	Weizsäcker, Carl
GND-118983776	118983776	GND	Kopisch, August
GND-104103701	104103701	GND	Schöne, Friedrich Gotthold
GND-118796569	118796569	GND	Blind, Karl
GND-117444154	117444154	GND	Wolf, Friedrich August
GND-11852593X	11852593X	GND	Lejeune Dirichlet, Peter Gustav
GND-100278043	100278043	GND	Förster, Friedrich Christoph
GND-26212-2	26212-2	GND	France / Administration des Douanes
KPE-904525	904525	KPE	Weser, C.
KPE-915514	915514	KPE	Cades, Annunziata
GND-116857374	116857374	GND	Schöll, Adolf
GND-117132551	117132551	GND	Walz, Christian
KPE-310520	310520	KPE	Schulenburg-Priemern, Gustav Ernst von der
GND-117123323	117123323	GND	Olshausen, Justus
GND-118608533	118608533	GND	Schmeller, Johann Andreas
GND-11954153X	11954153X	GND	Müller, Karl Otfried
GND-116765488	116765488	GND	Sallet, Alfred von
GND-1151242209	1151242209	GND	Leontiev, Pavel Mikhaïlovitch
GND-104257423	104257423	GND	Bruce, John Wyndham
GND-10140302X	10140302X	GND	Minieri-Riccio, Camillo
GND-118375499X	118375499X	GND	Bucci, Costantino
GND-103086609	103086609	GND	Platner, Ernst Zacharias
KPE-907031	907031	KPE	Barberi
GND-116094184	116094184	GND	Keil, Heinrich
