id	name	authId	authSource	lat	lng
GND-4010401-1	Colmar	4010401-1	GND	48.083329	7.36667
DE-611-10960	Colmar	10960	DE-611	null	null
GAZ-2042624	Constantine <Algerien>	2042624	GAZ	36365	6.61472
GAZ-2088544	Cortona	2088544	GAZ	43.27467	11.98533
DE-611-26934	Crema	26934	DE-611	null	null
GAZ-2361230	Cádiz	2361230	GAZ	36.52978	-6.29465
GAZ-2361201	Córdoba	2361201	GAZ	37.89155	-4.77275
GND-4085388-3	Dampierre	4085388-3	GND	null	null
GND-1169354815	Dampierre-en-Yvelines	1169354815	GND	48.7	1.983333
GAZ-2118366	Danzig	2118366	GAZ	54.352025	18.64663800000003
GAZ-2176104	Darmstadt	2176104	GAZ	49.871891	8.644562
GAZ-2044620	Dessau	2044620	GAZ	51.834167	12.237778
GAZ-2749106	Dillich	2749106	GAZ	50.99719	9.28806
GAZ-2057969	Donnerbühl	2057969	GAZ	46.925002	7.41528
DE-611-25888	Douai	25888	DE-611	null	null
GAZ-2044633	Dresden	2044633	GAZ	51.05089	13.73832
DE-611-25889	Dresden	25889	DE-611	null	null
GAZ-2088729	Dublin	2088729	GAZ	53.33306	-6.24889
GAZ-2424911	Düsseldorf	2424911	GAZ	51.22172	6.77616
GAZ-2129080	Eboli	2129080	GAZ	40.61421	15.05785
GAZ-2765551	Eclépens	2765551	GAZ	46.65251	6.525557
GAZ-2052332	Eisenach	2052332	GAZ	50.9807	10.31522
GAZ-2116134	Erfurt	2116134	GAZ	50.9787	11.03283
GAZ-2047226	Erlangen	2047226	GAZ	49.59099	11.00783
GAZ-2088961	Fano	2088961	GAZ	43.84052	13.01665
DE-611-28048	Ferentino	28048	DE-611	null	null
DE-611-27068	Fermo	27068	DE-611	null	null
GAZ-2338725	Ferrara	2338725	GAZ	44.836645	11.62066
GAZ-2089042	Fiesole	2089042	GAZ	43.80455	11.29487
GAZ-2359590	Florenz	2359590	GAZ	43.77925	11.24626
GAZ-4017581-9	Florenz	4017581-9	GAZ	43.77925	11.24626
DE-611-28067	Foggia	28067	DE-611	null	null
GAZ-2180906	Foligno	2180906	GAZ	42.95324	12.70664
GAZ-2338554	Forlì	2338554	GAZ	44.218572	12.050733
GAZ-2089310	Frankfurt am Main	2089310	GAZ	50.114203	8.676657
GAZ-2338558	Frascati	2338558	GAZ	41.807364	12.68104
GAZ-2045617	Freiburg im Breisgau	2045617	GAZ	47.9959	7.85222
GND-10175674-4	Freiwaldau <Niederschlesien>	10175674-4	GND	null	null
DE-611-28108	Gaeta	28108	DE-611	null	null
GND-4223740-3	Gaiole in Chianti	4223740-3	GND	43.46544	11.435629
DE-611-28114	Gallipoli	28114	DE-611	null	null
GAZ-2089398	Genf	2089398	GAZ	46.20222	6.14569
GAZ-2076380	Gent	2076380	GAZ	51.054342	3.717424
GAZ-2359570	Genua	2359570	GAZ	44.397798	8.947849
