id	authId	authSource	name
GND-2116580-4	2116580-4	GND	Altes Museum <Berlin>
GND-118535986	118535986	GND	Friedrich Wilhelm III., Preußen, König
GND-118622323	118622323	GND	Thorvaldsen, Bertel
GND-121284638	121284638	GND	Werther, Heinrich
GND-1166100618	1166100618	GND	Joli, Girolamo
GND-117319538	117319538	GND	Westermann, Anton
GND-118847856	118847856	GND	Arco, Karl von
GND-116001097	116001097	GND	Abeken, Bernhard Rudolf
GND-116152133	116152133	GND	Keudell, Robert von
GND-100416993	100416993	GND	Arndts von Arnesberg, Karl Ludwig
GND-116442743	116442743	GND	Cancellieri, Francesco
GND-117630179	117630179	GND	Sims, James Marion
GND-118526170	118526170	GND	Dodwell, Edward
GND-117325279	117325279	GND	Vahlen, Johannes
GND-116794992	116794992	GND	Schmieder, Heinrich Eduard
GND-116274662	116274662	GND	Köchly, Hermann
GND-100051960	100051960	GND	Bothe, Friedrich Heinrich
GND-1151242209	1151242209	GND	Leontiev, Pavel Mikhaïlovitch
GND-121675076	121675076	GND	Franz <Neapel, König, I.>
GND-116444657	116444657	GND	Reimer, Georg Ernst
KPE-821492	821492	KPE	Beugnot, B. de
KPE-699026	699026	KPE	Bunsen, Franziska
GND-11858524X	11858524X	GND	Müller, Wilhelm
GND-118607782	118607782	GND	Schinkel, Karl Friedrich
GND-117368210	117368210	GND	Wiese, Ludwig Adolf
KPE-914946	914946	KPE	Bianchi, Nicola
GND-1099933358	1099933358	GND	Grifi, Luigi
GND-1055090169	1055090169	GND	Lloyd, William Watkiss
GND-118620223	118620223	GND	Sybel, Heinrich von
GND-119338890	119338890	GND	Meineke, August
GND-117649317	117649317	GND	Cavallari, Saverio
GND-116975628	116975628	GND	Mazzetti, Antonio
GND-116187913	116187913	GND	Dorow, Wilhelm
GND-116424133	116424133	GND	Hamilton, Marie von
GND-116400196	116400196	GND	Cadès, Alessandro
GND-116562552	116562552	GND	Georgi, Carl
GND-117321125	117321125	GND	Westphal, Johann Heinrich
GND-118660276	118660276	GND	Brühl, Karl Moritz von
KPE-915816	915816	KPE	Capece Zurlo, Carlo Principe
GND-116964995	116964995	GND	Zannoni, Giovanni Battista
GND-118882856	118882856	GND	Carrara, Francesco
GND-118554719	118554719	GND	Humboldt, Caroline von
GND-118628038	118628038	GND	Waagen, Gustav Friedrich
GND-129376000	129376000	GND	Carderera y Solano, Valentín
GND-117471763	117471763	GND	Voigt, Georg
GND-117313629	117313629	GND	Lützow, Rudolf von
GND-116132663	116132663	GND	Bergk, Theodor
GND-11692313X	11692313X	GND	Schott, Albert
GND-116389117	116389117	GND	Avellino, Francesco Maria
GND-117485276	117485276	GND	Spohn, Friedrich August Wilhelm
GND-117023817	117023817	GND	Nitzsch, Gregor Wilhelm
KPE-137822	137822	KPE	Pretura di Zara
GND-118546643	118546643	GND	Haslinger, Tobias
KPE-906362	906362	KPE	Archini, Francesco
GND-118918818	118918818	GND	Palagi, Pelagio
GND-11725939X	11725939X	GND	Lucae, Karl
GND-118616641	118616641	GND	Stahl, Friedrich Julius
GND-117216852	117216852	GND	Stark, Franz
GND-116877146	116877146	GND	Mendelssohn, Georg Benjamin
GND-252872-1	252872-1	GND	Società Reale Borbonica
GND-118668005	118668005	GND	Bunsen, Christian Karl Josias von
GND-116174706	116174706	GND	Keller, Joseph von
GND-11721714X	11721714X	GND	Stark, Carl Bernhard
GND-117442445	117442445	GND	Valentin, Veit
GND-116595914	116595914	GND	Roestell, Friedrich Wilhelm
