id	name	authId	authSource	lat	lng
GAZ-2049802	Greifswald	2049802	GAZ	54.096363	13.378483
GND-4021972-0	Greiz	4021972-0	GND	50.65778	12.19918
GND-4119877-3	Großkochberg	4119877-3	GND	50.774929	11.35584
GND-1167007646	Gu±teri¶a	1167007646	GND	45.816666	24.183333
GAZ-2424907	Göttingen	2424907	GAZ	51.53443	9.93228
DE-611-55964	Hage	55964	DE-611	null	null
GAZ-2044919	Halle (Saale)	2044919	GAZ	51.483146	11.969423
GND-4023118-5	Hamburg	4023118-5	GND	53.583329	10.0
GAZ-2180527	Hanau	2180527	GAZ	50.128343	8.916326
GAZ-2050656	Hannover	2050656	GAZ	52.37052	9.73322
GAZ-2045637	Heidelberg	2045637	GAZ	49.41056	8.69556
GAZ-2064754	Helsinki	2064754	GAZ	60.16952	24.93545
GND-4253735-6	Igls	4253735-6	GND	null	null
GAZ-2063018	Innsbruck	2063018	GAZ	47.26266	11.39454
GAZ-2285315	Istanbul	2285315	GAZ	41.01384	28.94966
GAZ-2283175	Izmir	2283175	GAZ	38.41273	27.13838
GND-4380740-9	Jelgava	4380740-9	GND	56.65	23.712777
GAZ-2053060	Jena	2053060	GAZ	50.92878	11.5899
GND-4029705-6	Karlsbad	4029705-6	GND	50.232709	12.871169
GAZ-2424900	Karlsruhe	2424900	GAZ	49.00936	8.40444
GAZ-2179801	Kassel	2179801	GAZ	51.311922	9.491599
GAZ-2052777	Kiel	2052777	GAZ	54.32133	10.13489
DE-611-26371	Klagenfurt	26371	DE-611	null	null
GND-4257547-3	Klobenstein	4257547-3	GND	46.538611	11.465277
GAZ-2090381	Kopenhagen	2090381	GAZ	55.67594	12.56553
GND-4073728-7	Korfu	4073728-7	GND	null	null
GND-4098741-3	Krummhübel	4098741-3	GND	50.77669	15.75594
GAZ-2051668	Köln	2051668	GAZ	50.938279	6.953133
GAZ-2090364	Königsberg	2090364	GAZ	54.70649	20.51095
GND-4034340-6	Landsberg (Warthe)	4034340-6	GND	52.736666	15.228611
GAZ-2320145	Lecce	2320145	GAZ	40.354712	18.175058
GAZ-2086048	Leiden	2086048	GAZ	52.15833	4.49306
GAZ-2315108	Leipzig	2315108	GAZ	51.33962	12.37129
GAZ-2062677	Linz	2062677	GAZ	48.305235	14.286089
GAZ-2345198	Lissabon	2345198	GAZ	38.71667	-9.13333
GAZ-2320171	Livorno	2320171	GAZ	43.54427	10.32615
GAZ-2090478	London	2090478	GAZ	51.50853	-0.12574
GND-5245396-0	Loschwitz	5245396-0	GND	null	null
GND-4036398-3	Lourdes	4036398-3	GND	43.1	-0.05
DE-611-26250	Lucca	26250	DE-611	null	null
GAZ-2320160	Lucera	2320160	GAZ	41.508133	15.335498
GND-4036733-2	Luzern	4036733-2	GND	47.50277	8.306111
GAZ-2080762	Lyon	2080762	GAZ	45.74846	4.84671
GAZ-2052781	Lübeck	2052781	GAZ	53.86893	10.68729
GAZ-2287703	Madrid	2287703	GAZ	40.4165	-3.70256
GAZ-2426301	Magdeburg	2426301	GAZ	52.12773	11.62916
GAZ-2091266	Mailand	2091266	GAZ	45.46427	9.18951
GAZ-2052457	Mainz	2052457	GAZ	49.999116	8.272276
DE-611-17221	Malta	17221	DE-611	null	null
GAZ-2091354	Manchester	2091354	GAZ	53.48095	-2.23743
GAZ-2045837	Mannheim	2045837	GAZ	49.49671	8.47955
GAZ-2299061	Mantua	2299061	GAZ	45.159745	10.793467
GAZ-2180601	Marburg	2180601	GAZ	50.807684	8.772256
GAZ-2080498	Marseille	2080498	GAZ	43.29695	5.38107
GND-4038688-0	Meran	4038688-0	GND	46.668055	11.159444
GAZ-2299105	Messina	2299105	GAZ	38.19394	15.55256
GND-4115170-7	Modena	4115170-7	GND	44.647829	10.92539
GND-4040154-6	Montecassino	4040154-6	GND	41.491666	13.813333
GND-4341625-1	Montreuil <Departement Seine-Saint-Denis>	4341625-1	GND	null	null
GAZ-2091741	Moskau	2091741	GAZ	55.75222	37.61556
GAZ-2047696	München	2047696	GAZ	48.137164054834535	11.57559871673584
GAZ-2180910	Narni	2180910	GAZ	42.51956	12.52758
GAZ-2116137	Naumburg (Saale)	2116137	GAZ	51.14987	11.80979
GAZ-2338719	Neapel	2338719	GAZ	40.846442	14.25156
GND-4249148-4	Neumarkt <Niederschlesien>	4249148-4	GND	null	null
GND-4041845-5	Neumünster	4041845-5	GND	54.07477	9.981949
GAZ-2052508	Neuwied	2052508	GAZ	50.4336	7.47057
GND-7649445-7	Nicotera	7649445-7	GND	null	null
GND-4042339-6	Nil	4042339-6	GND	null	null
GND-1214874-X	Nola	1214874-X	GND	null	null
GND-4042519-8	Norderney	4042519-8	GND	null	null
GND-4075511-3	Nowgorod	4075511-3	GND	58.516669	31.283329
GND-4042887-4	Oberbozen	4042887-4	GND	null	null
GAZ-2069707	Odessa	2069707	GAZ	46.47747	30.73262
DE-611-28943	Offida	28943	DE-611	null	null
GND-1024971945	Ohne Ort	1024971945	GND	null	null
GAZ-2050934	Oldenburg (Oldenburg)	2050934	GAZ	53.140379	8.212941
GND-4454216-1	Olevano Romano	4454216-1	GND	41.860619	13.033089
GND-4102111-3	Oranienbaum	4102111-3	GND	51.798333	12.405833
GND-16330193-1	Orleans	16330193-1	GND	null	null
GAZ-2180915	Orvieto	2180915	GAZ	42.71924	12.11249
GAZ-2279218	Osnabrück	2279218	GAZ	52.27264	8.048513
GND-4044295-0	Padua	4044295-0	GND	45.41519	11.881809
GAZ-2359599	Palermo	2359599	GAZ	38.13205	13.33561
DE-611-28996	Palestrina	28996	DE-611	null	null
GAZ-2050149	Parchim	2050149	GAZ	53.428164	11.847548
GAZ-2081915	Paris	2081915	GAZ	48.86107	2.32025
GND-4115856-8	Parma	4115856-8	GND	44.799444	10.326111
GAZ-2307594	Patras	2307594	GAZ	38.24444	21.73444
GAZ-2359580	Pavia	2359580	GAZ	45.184738	9.154621
GAZ-2180917	Perugia	2180917	GAZ	43.1122	12.38878
GAZ-2359581	Pesaro	2359581	GAZ	43.90921	12.9164
DE-611-3011456	Pforta	3011456	DE-611	null	null
DE-611-56338	Pforte	56338	DE-611	null	null
GAZ-2326747	Pisa	2326747	GAZ	43.70853	10.4036
GAZ-2359616	Pistoia	2359616	GAZ	43.932467	10.92144
GND-4046755-7	Pompeji	4046755-7	GND	40.745833	14.496944
GND-7523530-4	Popoli	7523530-4	GND	42.16993	13.8308
GND-4240752-7	Portoferraio	4240752-7	GND	42.81152	10.314619
GAZ-2338580	Potenza	2338580	GAZ	40.63858	15.804627
GAZ-2048849	Potsdam	2048849	GAZ	52.397414	13.058283
GND-7795882-2	Potsdam / Sanssouci	7795882-2	GND	null	null
GAZ-2093361	Prag	2093361	GAZ	50.087444	14.42095
GAZ-2044667	Quedlinburg	2044667	GAZ	51.78843	11.15006
GAZ-2178759	Ravenna	2178759	GAZ	44.41344	12.20121
GAZ-2072955	Recanati	2072955	GAZ	43.40381	13.55379
GND-4714755-6	Rigi Scheidegg	4714755-6	GND	null	null
GAZ-2346936	Rimini	2346936	GAZ	44.05755	12.56528
GAZ-2180648	Rocca di Papa	2180648	GAZ	41.7658	12.70188
GND-2002209-8	Rolandseck	2002209-8	GND	null	null
GAZ-2323295	Rom	2323295	GAZ	41.89474	12.4839
GND-4050520-0	Rorschach	4050520-0	GND	47.478055	9.490277
GND-4288101-8	Rottach	4288101-8	GND	null	null
GAZ-2081087	Rouen	2081087	GAZ	49.44313	1.09932
GND-4105066-6	Rudolstadt	4105066-6	GND	50.72043	11.34046
DE-611-29248	Salerno	29248	DE-611	null	null
GAZ-2345127	San Marino	2345127	GAZ	43.9367	12.4463
DE-611-29280	San Severino Marche	29280	DE-611	null	null
DE-611-29281	San Severo	29281	DE-611	null	null
GND-4267026-3	Sankt Petersburg	4267026-3	GND	59.89444	30.26417
GAZ-2073226	Sarteano	2073226	GAZ	42.99193	11.86472
GND-4312490-2	Savignano sul Rubicone	4312490-2	GND	null	null
GND-4052689-6	Schleswig <Stadt>	4052689-6	GND	54.521388	9.558333
GND-4053783-3	Schwarzenbek	4053783-3	GND	53.50303	10.480549
GND-5307400-2	Seifersdorf <Radeberg>	5307400-2	GND	null	null
GAZ-2361218	Sevilla	2361218	GAZ	37.38283	-5.97317
GND-4816315-6	Siebleben	4816315-6	GND	50.94265	10.746219
GND-4055193-3	Sizilien	4055193-3	GND	null	null
GND-7834428-1	Soden	7834428-1	GND	null	null
GAZ-2096371	Sorrent	2096371	GAZ	40.624042	14.37458
GAZ-2044826	Stolberg/Harz	2044826	GAZ	51.573273	10.954919
GAZ-2096579	Straßburg	2096579	GAZ	48.58392	7.74553
GAZ-2046216	Stuttgart	2046216	GAZ	48.7825	9.17694
GAZ-2180653	Subiaco	2180653	GAZ	41.92619	13.08906
GAZ-2345156	Syrakus	2345156	GAZ	37.073819	15.287476
GAZ-2338562	Tarquinia	2338562	GAZ	42.252848	11.758161
GAZ-2088714	Tartu	2088714	GAZ	58.38062	26.72509
GAZ-2096845	Terni	2096845	GAZ	42.562978	12.646369
GAZ-2063015	Tirol	2063015	GAZ	47.2573300771116	11.396255493164062
DE-611-30337	Toscanella	30337	DE-611	null	null
GND-4119669-7	Toulon	4119669-7	GND	43.116669	5.933329
GAZ-2097154	Triest	2097154	GAZ	45.64325	13.7903
GAZ-2097212	Turin	2097212	GAZ	45.07049	7.68682
GAZ-2046282	Tübingen	2046282	GAZ	48.52266	9.05222
GAZ-2051112	Uelzen	2051112	GAZ	52.96572	10.56111
GAZ-2065601	Uppsala	2065601	GAZ	59.85882	17.63889
GND-4119322-2	Usedom	4119322-2	GND	null	null
GAZ-2361215	Valencia	2361215	GAZ	39.46975	-0.37739
GAZ-2097525	Venedig	2097525	GAZ	45.43713	12.33265
GAZ-2338753	Verona	2338753	GAZ	45.4299	10.98444
GAZ-2080717	Vienne	2080717	GAZ	45.51667	4.86667
DE-611-26144	Viterbo	26144	DE-611	null	null
GAZ-2326753	Volterra	2326753	GAZ	43.40251	10.86152
GAZ-2053243	Weimar	2053243	GAZ	50.9803	11.32903
GND-4065649-4	Wernigerode	4065649-4	GND	51.83652	10.782159
GAZ-2051994	Wesel	2051994	GAZ	51.65918	6.625434
GAZ-2733185	Wien	2733185	GAZ	48.2082	16.37169
GAZ-2181108	Wiesbaden	2181108	GAZ	50.08258	8.24932
GND-4066640-2	Wittenberg	4066640-2	GND	51.8661	12.649729
GND-4066832-0	Wolfenbüttel	4066832-0	GND	52.164419	10.54095
GAZ-2045074	Wörlitz	2045074	GAZ	51.842701	12.418692
GAZ-2048407	Würzburg	2048407	GAZ	49.793023	9.936533
GAZ-2054039	Zadar	2054039	GAZ	44.11972	15.24222
GND-4068038-1	Zürich	4068038-1	GND	47.366666	8.55
