origin_name,origin_lat,origin_lng,reception_label,reception_lat,reception_lng,letter_count
Canino,42.464019,11.75115,Berlin,52.5,13.416669,1
Zürich,47.366666,8.55,Berlin,52.5,13.416669,1
Halle (Saale),51.5,12.0,Greifswald,54.09311,13.387859,1
Stuttgart,48.782222,9.176944,Florenz,43.766669,11.25,1
Stuttgart,48.782222,9.176944,Bonn,50.734166,7.095277,1
Turin,45.070489,7.68682,Bonn,50.734166,7.095277,1
Augsburg,48.371388,10.898333,Berlin,52.5,13.416669,1
Tartu,58.38062,26.72509,Berlin,52.5,13.416669,1
Karlsbad,50.232709,12.871169,Rom,41.894739,12.4839,1
Erlangen,49.590989,11.00783,Bonn,50.734166,7.095277,1
Göttingen,51.539329,9.93406,Leipzig,51.339444,12.371111,1
Leiden,52.158329,4.493059,Leipzig,51.339444,12.371111,1
Leipzig,51.339444,12.371111,Berlin,52.5,13.416669,1
Modena,44.647829,10.92539,Rom,41.894739,12.4839,1
Jena,50.92878,11.5899,Leipzig,51.339444,12.371111,1
Greifswald,54.09311,13.387859,Kiel,54.321111,10.134722,1
Florenz,43.766669,11.25,Mailand,45.464269,9.18951,1
Marseille,43.29695,5.38107,Paris,48.853409,2.3488,1
"Freiburg, Elbe",53.82529,9.288029,Greifswald,54.09311,13.387859,1
Breslau,51.1,17.033329,Paris,48.853409,2.3488,1
Wien,48.208199,16.37169,München,48.137222,11.575277,1
Triest,45.648609,13.779999,Verona,45.43419,10.99779,1
Palermo,38.115819,13.359759,Rom,41.894739,12.4839,1
Brüssel,50.850277,4.348611,Rom,41.894739,12.4839,1
Breslau,51.1,17.033329,Rom,41.894739,12.4839,1
Perugia,43.1122,12.38878,Berlin,52.5,13.416669,1
Tartu,58.38062,26.72509,Kiel,54.321111,10.134722,1
Frankfurt am Main,50.115277,8.684166,Bonn,50.734166,7.095277,1
Palermo,38.115819,13.359759,Kiel,54.321111,10.134722,1
Linz,48.30639,14.28611,Frankfurt am Main,50.115277,8.684166,1
Luzern,47.50277,8.306111,Berlin,52.5,13.416669,1
Darmstadt,49.870559,8.64944,Rom,41.894739,12.4839,1
Potsdam,52.398859,13.065659,Rom,41.894739,12.4839,1
Neapel,40.833329,14.25,Magdeburg,52.1275,11.629166,1
Bonn,50.734166,7.095277,Kiel,54.321111,10.134722,1
Stuttgart,48.782222,9.176944,Berlin,52.5,13.416669,1
Frankfurt am Main,50.115277,8.684166,Berlin,52.5,13.416669,1
Stuttgart,48.782222,9.176944,Neapel,40.833329,14.25,1
Florenz,43.766669,11.25,Bonn,50.734166,7.095277,1
Florenz,43.766669,11.25,Verona,45.43419,10.99779,1
Helsinki,60.169519,24.935449,Berlin,52.5,13.416669,1
Fiesole,43.80485,11.294119,Berlin,52.5,13.416669,1
London,51.50853,-0.12574,Florenz,43.766669,11.25,1
Athen,37.979449,23.716219,Berlin,52.5,13.416669,1
Bad Oldesloe,53.811669,10.374169,Bonn,50.734166,7.095277,1
Augsburg,48.371388,10.898333,München,48.137222,11.575277,1
